ed,candidacy_id,name,first_choice,final_round,is_major
28068,218491,Dianne Morales,3,0,True
28068,221183,Shaun Donovan,6,0,True
28069,217796,Andrew Yang,41,0,True
28069,217572,Eric L. Adams,36,62,True
28069,217605,Scott M. Stringer,21,0,True
28069,218117,Paperboy Love Prince,1,0,False
28069,219978,Kathryn A. Garcia,88,136,True
28069,219469,Maya D. Wiley,27,0,True
28069,218127,Raymond J. McGuire,7,0,True
28069,221141,Art Chang,5,0,False
28069,218491,Dianne Morales,2,0,True
28069,221183,Shaun Donovan,6,0,True
28070,217796,Andrew Yang,20,0,True
28070,217572,Eric L. Adams,19,29,True
28070,217605,Scott M. Stringer,3,0,True
28070,219978,Kathryn A. Garcia,16,40,True
28070,219469,Maya D. Wiley,9,0,True
28070,218127,Raymond J. McGuire,3,0,True
28070,218491,Dianne Morales,1,0,True
28070,221183,Shaun Donovan,8,0,True
28071,217572,Eric L. Adams,28,43,True
28071,217796,Andrew Yang,17,0,True
28071,217605,Scott M. Stringer,10,0,True
28071,218117,Paperboy Love Prince,1,0,False
28071,219978,Kathryn A. Garcia,26,50,True
28071,218922,Joycelyn Taylor,2,0,False
28071,219469,Maya D. Wiley,18,0,True
28071,218127,Raymond J. McGuire,0,0,True
28071,218491,Dianne Morales,2,0,True
28071,221183,Shaun Donovan,6,0,True
28072,217572,Eric L. Adams,22,27,True
28072,217796,Andrew Yang,22,0,True
28072,217605,Scott M. Stringer,7,0,True
28072,219978,Kathryn A. Garcia,20,37,True
28072,219469,Maya D. Wiley,3,0,True
28072,218127,Raymond J. McGuire,2,0,True
28072,217654,Aaron S. Foldenauer,2,0,False
28072,218491,Dianne Morales,3,0,True
28072,221183,Shaun Donovan,2,0,True
28073,217572,Eric L. Adams,35,43,True
28073,217796,Andrew Yang,21,0,True
28073,217605,Scott M. Stringer,13,0,True
28073,219978,Kathryn A. Garcia,37,73,True
28073,219469,Maya D. Wiley,20,0,True
28073,218127,Raymond J. McGuire,2,0,True
28073,221141,Art Chang,1,0,False
28073,217654,Aaron S. Foldenauer,1,0,False
28073,218491,Dianne Morales,3,0,True
28073,221183,Shaun Donovan,6,0,True
28074,217572,Eric L. Adams,32,42,True
28074,217796,Andrew Yang,18,0,True
28074,217605,Scott M. Stringer,7,0,True
28074,219978,Kathryn A. Garcia,27,44,True
28074,219469,Maya D. Wiley,14,0,True
28074,218127,Raymond J. McGuire,4,0,True
28074,217654,Aaron S. Foldenauer,1,0,False
28074,218491,Dianne Morales,0,0,True
28074,221183,Shaun Donovan,3,0,True
28075,217796,Andrew Yang,42,0,True
28075,217605,Scott M. Stringer,15,0,True
28075,218117,Paperboy Love Prince,1,0,False
28075,219978,Kathryn A. Garcia,48,90,True
28075,219469,Maya D. Wiley,17,0,True
28075,218127,Raymond J. McGuire,2,0,True
28075,221141,Art Chang,1,0,False
28075,217572,Eric L. Adams,30,52,True
28075,217654,Aaron S. Foldenauer,1,0,False
28075,218491,Dianne Morales,3,0,True
28075,221183,Shaun Donovan,4,0,True
28076,217572,Eric L. Adams,26,46,True
28076,217796,Andrew Yang,25,0,True
28076,217605,Scott M. Stringer,18,0,True
28076,219978,Kathryn A. Garcia,40,72,True
28076,219469,Maya D. Wiley,7,0,True
28076,218127,Raymond J. McGuire,6,0,True
28076,221141,Art Chang,1,0,False
28076,218491,Dianne Morales,4,0,True
28076,221183,Shaun Donovan,15,0,True
28077,217796,Andrew Yang,26,0,True
28077,217572,Eric L. Adams,23,38,True
28077,217605,Scott M. Stringer,15,0,True
28077,219978,Kathryn A. Garcia,24,63,True
28077,219469,Maya D. Wiley,17,0,True
28077,218127,Raymond J. McGuire,2,0,True
28077,221458,Isaac Wright Jr.,1,0,False
28077,218491,Dianne Morales,2,0,True
28077,221183,Shaun Donovan,8,0,True
28078,217572,Eric L. Adams,26,42,True
28078,217796,Andrew Yang,19,0,True
28078,217605,Scott M. Stringer,7,0,True
28078,218117,Paperboy Love Prince,4,0,False
28078,219978,Kathryn A. Garcia,15,36,True
28078,218922,Joycelyn Taylor,2,0,False
28078,219469,Maya D. Wiley,17,0,True
28078,218127,Raymond J. McGuire,0,0,True
