ed,ballots,first_choice_total,final_round_active,first_winner_id,first_winner,first_winner_pct,final_winner_id,final_winner,final_winner_pct
50044,173,173,173,0,Eric L. Adams,77.45664739884393,0,Eric L. Adams,77.45664739884393
50045,37,37,37,0,Eric L. Adams,78.37837837837837,0,Eric L. Adams,78.37837837837837
50046,234,234,234,0,Eric L. Adams,83.76068376068376,0,Eric L. Adams,83.76068376068376
50047,172,172,172,0,Eric L. Adams,86.04651162790698,0,Eric L. Adams,86.04651162790698
50048,276,276,276,0,Eric L. Adams,79.34782608695652,0,Eric L. Adams,79.34782608695652
50049,82,82,82,0,Eric L. Adams,75.60975609756098,0,Eric L. Adams,75.60975609756098
50050,164,164,164,0,Eric L. Adams,82.92682926829268,0,Eric L. Adams,82.92682926829268
50051,129,129,129,0,Eric L. Adams,78.29457364341084,0,Eric L. Adams,78.29457364341084
50052,161,161,161,0,Eric L. Adams,72.04968944099379,0,Eric L. Adams,72.04968944099379
50053,130,130,130,0,Eric L. Adams,83.07692307692308,0,Eric L. Adams,83.07692307692308
50054,95,95,95,0,Eric L. Adams,83.15789473684211,0,Eric L. Adams,83.15789473684211
50055,33,33,33,0,Eric L. Adams,69.6969696969697,0,Eric L. Adams,69.6969696969697
50056,37,37,37,0,Eric L. Adams,83.78378378378379,0,Eric L. Adams,83.78378378378379
50057,113,113,113,0,Eric L. Adams,73.45132743362832,0,Eric L. Adams,73.45132743362832
50058,105,105,105,0,Eric L. Adams,67.61904761904762,0,Eric L. Adams,67.61904761904762
50059,142,142,142,0,Eric L. Adams,71.12676056338029,0,Eric L. Adams,71.12676056338029
50060,85,85,85,0,Eric L. Adams,74.11764705882354,0,Eric L. Adams,74.11764705882354
50061,155,155,155,0,Eric L. Adams,62.58064516129033,0,Eric L. Adams,62.58064516129033
50062,89,89,89,0,Eric L. Adams,77.52808988764045,0,Eric L. Adams,77.52808988764045
50063,142,142,142,0,Eric L. Adams,71.83098591549296,0,Eric L. Adams,71.83098591549296
50064,41,41,41,0,Eric L. Adams,51.21951219512195,0,Eric L. Adams,51.21951219512195
50065,39,39,39,0,Eric L. Adams,76.92307692307693,0,Eric L. Adams,76.92307692307693
50066,63,63,63,0,Curtis A. Sliwa,47.61904761904761,0,Curtis A. Sliwa,47.61904761904761
50067,44,44,44,0,Eric L. Adams,47.72727272727273,0,Eric L. Adams,47.72727272727273
50068,77,77,77,0,Eric L. Adams,87.01298701298701,0,Eric L. Adams,87.01298701298701
50069,69,69,69,0,Eric L. Adams,66.66666666666666,0,Eric L. Adams,66.66666666666666
50070,43,43,43,0,Eric L. Adams,69.76744186046511,0,Eric L. Adams,69.76744186046511
50071,33,33,33,0,Eric L. Adams,63.63636363636363,0,Eric L. Adams,63.63636363636363
50072,63,63,63,0,Curtis A. Sliwa,50.79365079365079,0,Curtis A. Sliwa,50.79365079365079
50073,60,60,60,0,Eric L. Adams,51.66666666666667,0,Eric L. Adams,51.66666666666667
50074,71,71,71,0,Eric L. Adams,56.33802816901409,0,Eric L. Adams,56.33802816901409
50075,70,70,70,0,Eric L. Adams,54.285714285714285,0,Eric L. Adams,54.285714285714285
50076,108,108,108,0,Eric L. Adams,68.51851851851852,0,Eric L. Adams,68.51851851851852
50077,88,88,88,0,Curtis A. Sliwa,54.54545454545454,0,Curtis A. Sliwa,54.54545454545454
50078,80,80,80,0,Curtis A. Sliwa,51.24999999999999,0,Curtis A. Sliwa,51.24999999999999
50079,56,56,56,0,Eric L. Adams,51.78571428571429,0,Eric L. Adams,51.78571428571429
50080,62,62,62,0,Eric L. Adams,54.83870967741935,0,Eric L. Adams,54.83870967741935
50081,16,16,16,0,Eric L. Adams,81.25,0,Eric L. Adams,81.25
50082,48,48,48,0,Curtis A. Sliwa,54.166666666666664,0,Curtis A. Sliwa,54.166666666666664
